run,seed,scenario,min_R_over_R0,final_R_over_R0,max_B,final_B,stress_share,max_w_gap,min_S,final_M_re,final_M_public,yin_cumulative,reflux_cumulative,sf_tax_integral,commons_spend_integral,public_money_identity_error
23,202622,Reflux 2% max,0.32974511457942696,1.0002138226410777,4234.185460063562,1175.0023205454986,0.7431693989071039,0.7647759156574593,0.6528116457836709,339.17421382108637,227.4580345983206,0.0,322.54196540168067,43039.52795694972,22785.913314006502,1.3073986337985843e-12
23,202622,Yin 5% + reflux 2%,0.30632854284670974,0.5894025614305347,2216.5840604786918,1064.5511774660636,0.43989071038251365,0.7505520124192964,0.6528115913073634,239.4055201083106,1314.7484599070228,1074.7211140741438,309.97265416711934,38771.09899212694,21481.123243445698,-1.5916157281026244e-12
24,202623,DLE baseline,0.1384519110458025,0.9579487542686782,2366.8633325274204,2268.840123634196,0.366120218579235,0.8624906631692537,0.6528115912643461,267.91631550865685,550.0,0.0,0.0,43502.140890461844,23228.697664370644,0.0
24,202623,Yin 5%,0.13867523669118198,0.9579487542814955,2290.284312343384,1869.3275411999248,0.31420765027322406,0.8509847910796985,0.6528115912701692,282.6987930825299,1612.4933122232512,1062.4933122232421,0.0,36702.85965642675,21213.50945015247,9.094947017729282e-12
24,202623,Reflux 2% max,0.14887557127740744,0.9579487542686782,2770.000133087833,2246.8319058656293,0.5683060109289617,0.8564065357819091,0.6528115912643461,267.83740290444587,214.89801792511008,0.0,335.10198207489066,44110.37566560809,22969.375069940885,7.389644451905042e-13
24,202623,Yin 5% + reflux 2%,0.1404386835709291,0.9579487542686792,2313.843357578608,1762.6813623190853,0.33879781420765026,0.8515997874204204,0.6528115912643465,279.86757883499735,1328.034380789049,1089.4051583111266,311.37077752207875,38540.857076056236,21759.18038873646,1.1937117960769683e-12
25,202624,DLE baseline,0.29881528127759827,0.9579487926365369,3495.2074464641123,2420.1110569948623,0.546448087431694,0.7757848448715535,0.6528116086953291,268.46996752155013,550.0,0.0,0.0,42148.74862167594,22990.144362828098,0.0
25,202624,Yin 5%,0.2996473893122062,0.7825923612594899,2110.3338745641636,1986.8236133943547,0.6639344262295082,0.7451730230814958,0.6533533115548203,252.39347597041854,1585.9304004411192,1035.9304004411247,0.0,35198.539351437226,20676.727681816054,-5.4569682106375694e-12
25,202624,Reflux 2% max,0.31975322561016684,0.9579487790021968,3909.0798817151044,2278.5267959876646,0.6065573770491803,0.7703532422237617,0.6528116025010833,276.585018666426,224.0049652408893,0.0,325.9950347591097,44010.90409410009,23604.91371040854,-9.663381206337363e-13
25,202624,Yin 5% + reflux 2%,0.29789390946269745,0.844786438537792,2329.616453496865,1340.2546332648142,0.674863387978142,0.7559122708770539,0.6535117122157204,261.5149611139864,1332.791042065375,1056.629938255111,273.8388961897428,37413.42368923753,21105.219708590474,6.764366844436154e-12
26,202625,DLE baseline,0.136357270492798,0.9581429106245088,2545.196692610485,2291.3203240051307,0.6366120218579235,0.862535432078844,0.6528117523821202,272.2090488603455,550.0,0.0,0.0,42323.327303158934,22542.959713221866,0.0
26,202625,Yin 5%,0.07550150475658249,0.8539928414368224,1518.0366650982928,1094.6180828704441,0.592896174863388,0.8967554647760738,0.6528143293589989,261.6972595001965,1553.005989313571,1003.005989313571,0.0,36904.72373352893,20031.61082335723,0.0
26,202625,Reflux 2% max,0.13718459759694693,0.958206290769841,3002.81883660135,2642.8652157506554,0.7841530054644809,0.8639604237403011,0.6528132290799719,271.25928934565184,258.93650880474974,0.0,291.0634911952509,41943.45214243475,22071.00987095684,6.252776074688882e-13
26,202625,Yin 5% + reflux 2%,0.07736658733235106,0.8635300640616527,2035.2698666635054,1047.7081893308573,0.5737704918032787,0.8956410220196603,0.6528146586452381,258.91787845287985,1336.4368784280764,1083.3513355854832,296.91445715740383,39013.13768561434,21636.455223791814,-2.9558577807620168e-12
27,202626,DLE baseline,0.18585467870368497,0.4616161889694571,3026.8385145130405,1651.0861206863467,0.6939890710382514,0.8319657031712272,0.6537446221762142,213.07568686759404,550.0,0.0,0.0,42174.30364642221,22363.940581726867,0.0
27,202626,Yin 5%,0.189997115706627,0.3520961341877398,1778.822545814753,1403.1021946922597,0.6721311475409836,0.8133133239771053,0.6534870346259033,193.60578613044356,1548.6797445286913,998.6797445286953,0.0,35364.016271086366,19934.308454335576,-3.979039320256561e-12
27,202626,Reflux 2% max,0.19255217097707372,0.46569147910626446,3340.8260952792184,1857.201590735939,0.7595628415300546,0.8305423557152094,0.653488094666813,213.1950048196148,247.10745605008384,0.0,302.89254394991764,43166.31363891243,22631.5533202691,1.4779288903810084e-12
27,202626,Yin 5% + reflux 2%,0.19037532385300523,0.42917683815127694,1945.8580602364602,814.0664479271123,0.6830601092896175,0.8168544654950565,0.6539321740595636,213.6812114761686,1324.3346939131625,1059.9208534587879,285.5861595456201,38457.70082692655,21168.05635883488,-5.286437954055145e-12
28,202627,DLE baseline,0.17682608539073405,0.8196489671193863,2804.9603429098615,969.444611189478,0.7240437158469946,0.8464041114404905,0.6528121098898266,254.97435996048654,550.0,0.0,0.0,42238.20293144489,22308.724537978153,0.0
28,202627,Yin 5%,0.17449868517143532,0.5441479759094056,2280.520841397207,813.8438618687526,0.4207650273224044,0.8312649158490533,0.6528115923009918,208.56872316672647,1632.3593706690233,1082.359370669023,0.0,37148.45377615203,21598.20240699708,2.2737367544323206e-13
28,202627,Reflux 2% max,0.18329963306943547,0.9066520158966279,3858.876112072584,2431.4009325603674,0.8306010928961749,0.8456270307396659,0.6528115924493921,255.2879300581997,234.7859445617658,0.0,315.21405543823363,41392.316732814565,22133.577983983167,-5.684341886080801e-13
28,202627,Yin 5% + reflux 2%,0.17825093215860605,0.9579537106049635,2270.7323428206646,1437.501123424908,0.28415300546448086,0.83241991075621,0.6528115923137352,268.60529085658385,1363.1558967996486,1163.4850417227444,350.32914492309897,40070.035913255284,23242.94141294222,3.183231456205249e-12
29,202628,DLE baseline,0.22075074736197442,0.6800165509905907,2737.742278184259,2210.9334940011513,0.6912568306010929,0.8378874789514995,0.6531010490648955,251.65603672590254,550.0,0.0,0.0,40316.941604395826,21405.539121727626,0.0
29,202628,Yin 5%,0.22170536519209222,0.386714598693422,1753.4836687497989,987.5296490159451,0.6502732240437158,0.8270761369022197,0.6538158173233926,192.10262298106554,1532.4028352134512,982.4028352134527,0.0,35470.28301545026,19617.560455196326,-1.4779288903810084e-12
29,202628,Reflux 2% max,0.22577624751898615,0.6224468032986754,3214.9353494915345,2379.0284214118324,0.8032786885245902,0.8347361521150549,0.6528204325450543,232.935225499033,275.18390917935926,0.0,274.81609082064267,40581.48648404284,21425.904356111278,1.9326762412674725e-12
29,202628,Yin 5% + reflux 2%,0.23455467041689781,0.479102729203436,2323.1041105816876,816.7676539253587,0.5409836065573771,0.8186587945588164,0.6528132868754722,215.99472270613228,1315.492326763026,1054.520798955512,289.02847219248605,38221.8724261283,21040.585509926175,1.7053025658242404e-13
30,202629,DLE baseline,0.18506047134649078,0.6550604382796409,2707.498938806705,2088.9738369712186,0.8060109289617486,0.8414071264421379,0.6528123474917044,243.89301812913874,550.0,0.0,0.0,42100.73811344266,21976.283388895656,0.0
30,202629,Yin 5%,0.1647417357262127,0.8828445071637643,2189.419523857693,701.3124962755683,0.6475409836065574,0.840911374398648,0.6529868514890921,325.4787709602266,1595.3805089815528,1045.3805089815537,0.0,38439.21077575212,20865.51313513547,-9.094947017729282e-13
30,202629,Reflux 2% max,0.19446700864225824,0.5652503397033974,4080.9721281615894,1952.7549444885801,0.8497267759562842,0.8369780721169948,0.6528126046938034,216.83706397921668,248.3698293144337,0.0,301.6301706855675,43197.88490337455,22456.119907288405,1.1937117960769683e-12
30,202629,Yin 5% + reflux 2%,0.17485158848575968,0.6394652948940693,2534.7158210656617,1209.2006581542985,0.6174863387978142,0.836281669556801,0.6529814502737554,251.3271953337609,1333.8257658251243,1074.2884294179798,290.46266359285676,39006.94272270948,21440.15137665487,1.2505552149377763e-12
31,202630,DLE baseline,0.15861295118845292,0.9580556207475198,2711.771322313211,2270.5079488536426,0.6557377049180327,0.8538671711724309,0.6528192654729703,274.3801994694535,550.0,0.0,0.0,41990.80414590935,22082.899316059622,0.0
31,202630,Yin 5%,0.1535721494192863,0.9604169159635684,1992.9888772770714,1394.6167652805125,0.5245901639344263,0.8446301543541289,0.6528184130543554,254.75071501321935,1591.263181236966,1041.263181236967,0.0,37155.100500655135,20775.676022520543,-1.1368683772161603e-12
31,202630,Reflux 2% max,0.17304723859359883,0.9580772259265528,3874.9382368825973,2367.568319132631,0.8497267759562842,0.8457395145498366,0.652819352087017,260.2118507158349,229.59526798723985,0.0,320.40473201276177,43799.370549475854,23075.44480692303,1.5916157281026244e-12
31,202630,Yin 5% + reflux 2%,0.1569323441188935,0.9580894850978798,2273.098987338057,1574.961044579979,0.5218579234972678,0.8446207265297468,0.652818615573973,259.97889639725014,1329.5613380267514,1088.2600914031273,308.69875337638354,39055.08329498482,21727.934086869653,7.673861546209082e-12
32,202631,DLE baseline,0.15602087803502326,0.9178948736569484,2453.243609302948,1242.0657057674987,0.7076502732240437,0.8539258584737145,0.6528147923197216,294.4082901411992,550.0,0.0,0.0,43485.86094587817,21784.973386690373,0.0
32,202631,Yin 5%,0.1594664824357969,0.74624185649221,1405.9888615392535,1204.3050148892887,0.7896174863387978,0.8384742533170462,0.6558041263149944,266.24438645738985,1521.8759719754091,971.8759719754078,0.0,36749.111635244044,19391.323725557122,1.3642420526593924e-12
32,202631,Reflux 2% max,0.15756207727653088,0.6355541967382975,2574.987610476754,1360.6368401489344,0.7896174863387978,0.8550865598288759,0.6529364775271526,218.75595984477135,302.4363780787916,0.0,247.5636219212089,42949.470317144296,21336.335631228845,5.400124791776761e-13
32,202631,Yin 5% + reflux 2%,0.1608575387816169,0.8470703915572607,1776.5381996707245,1776.5381996707245,0.7240437158469946,0.8400864947281534,0.6536428065063817,286.5861974910842,1330.5839932483734,1026.6255061536936,246.04151290531823,38116.59436566919,20507.835900971644,-1.8758328224066645e-12
33,202632,DLE baseline,0.19054855483968292,0.8427067812991653,2384.2744810608565,2352.3652155859754,0.5792349726775956,0.8383262622686775,0.6528115930593733,288.35379337616246,550.0,0.0,0.0,42633.00246159286,22381.381245772,0.0
33,202632,Yin 5%,0.1889537078817373,0.5896147850837503,1462.2987700044985,1155.3864607492444,0.6557377049180327,0.8218387617507062,0.6538014224537182,234.30009107690216,1556.6813828097897,1006.6813828097963,0.0,36913.55553587791,20101.929548993685,-6.59383658785373e-12
33,202632,Reflux 2% max,0.1953617858929765,0.8601725395098507,2483.022283539525,1880.2316913552334,0.6120218579234973,0.8388260178504555,0.6528115930146327,290.69751246907055,268.271098256161,0.0,281.72890174383997,45200.257938370014,23215.723780779495,9.663381206337363e-13
33,202632,Yin 5% + reflux 2%,0.19312416328138862,0.6546176865548045,1699.2919707899823,1390.862436336493,0.7185792349726776,0.8232406341877301,0.6542313340269513,248.60428785890085,1320.955736749127,1019.7541553883609,248.79841863923903,37745.58085301979,20361.986656094356,5.172751116333529e-12
34,202633,DLE baseline,0.18557225640111097,0.7239323791922474,2455.737340360913,1659.648977918291,0.5573770491803278,0.8412936472770032,0.652811591850881,264.8398452275802,550.0,0.0,0.0,45209.809868923025,23723.252189600906,0.0
34,202633,Yin 5%,0.18379646169858474,0.8524730073792486,1729.882446944398,840.8640891847765,0.5601092896174863,0.8251815872960226,0.6528475442039369,315.30641279661955,1625.7652090478618,1075.7652090478657,0.0,38595.79744804932,21491.163390551726,-3.865352482534945e-12
34,202633,Reflux 2% max,0.19331878173399128,0.5627036741316228,3073.772993509921,1551.8401924358436,0.8278688524590164,0.8409194537492788,0.6528115918347396,216.58911840016236,267.4596346424395,0.0,282.54036535755944,42167.04592986329,21592.96725421715,-1.0800249583553523e-12
34,202633,Yin 5% + reflux 2%,0.18794151930266137,0.8923625658100037,2051.2560405794775,977.5917091564726,0.5327868852459017,0.826392981138218,0.6528144848341778,323.28043435583623,1333.4021239631295,1099.6982302893366,316.29610632621296,40063.11001497743,21964.0799777179,5.8548721426632255e-12
35,202634,DLE baseline,0.13161785692754305,0.9579487545355166,2511.030019236927,2058.967546109065,0.366120218579235,0.8654870574970686,0.652811591385574,269.5765123595544,550.0,0.0,0.0,45150.66380564726,24449.056649096237,0.0
35,202634,Yin 5%,0.13550316446350383,0.9581460712397457,1682.1586995167527,906.8442321229725,0.5218579234972678,0.8510132150865939,0.6529012316782349,258.39154085464804,1596.5025600954898,1046.502560095486,0.0,37778.32935356157,20892.775828920934,3.865352482534945e-12
35,202634,Reflux 2% max,0.1325983449881772,0.9581847893093316,3359.754890888972,2585.117661329511,0.7868852459016393,0.8666440196576832,0.6529013569147636,283.188507600786,242.96235716701216,0.0,307.03764283298796,42578.119218725944,22595.765517308926,1.1368683772161603e-13
35,202634,Yin 5% + reflux 2%,0.08435933907697866,0.9579490246964305,2085.493051957575,1838.3900531960771,0.3879781420765027,0.8850447268961646,0.6528117141229453,271.2642386802262,1349.4318166700173,1129.9464739548866,330.51465728485834,39444.18373620922,22564.28405445254,-1.1027623258996755e-11
36,202635,DLE baseline,0.17200342088106296,0.912480465792956,2848.9010523218053,1864.0496092079047,0.6530054644808743,0.8489345533308297,0.6528116529567152,325.5416323892814,550.0,0.0,0.0,44759.91917140506,23658.70931453094,0.0
36,202635,Yin 5%,0.16990442102561337,0.3885970952111763,2244.4937753086924,892.5252644705508,0.38524590163934425,0.8342395196310733,0.6528115914284761,199.0241802860367,1604.597459049779,1054.5974590497751,0.0,37213.07275615466,21048.358003166533,3.865352482534945e-12
36,202635,Reflux 2% max,0.17730556861783375,0.45637946707862714,4081.486954182026,2398.936092078401,0.825136612021858,0.8481695558749286,0.6528115993794738,203.19043410020808,237.65620805187578,0.0,312.34379194812357,41670.10343848955,22227.89229677828,-6.821210263296962e-13
36,202635,Yin 5% + reflux 2%,0.17361607030783108,0.5605348838241426,2287.6140943039954,684.2598490367074,0.39344262295081966,0.8353130805435554,0.6528115912678135,247.72143115299366,1356.7257804625879,1144.7992441426652,338.0734636800789,41441.82590433716,22890.70707542193,1.5347723092418164e-12
37,202636,DLE baseline,0.25541797697348834,0.9384515591944419,3057.1234893203537,1960.8243671183807,0.3989071038251366,0.7707402165252114,0.6528115918776395,297.6365663802422,550.0,0.0,0.0,44465.66628555949,24041.226296697445,0.0
37,202636,Yin 5%,0.257974274674329,0.6364027783611363,2036.7111465073135,846.3432357800236,0.6120218579234973,0.7463489925203803,0.6531842360502768,255.97621156527836,1595.4227494768513,1045.422749476848,0.0,36705.02823740254,20881.830577041703,3.410605131648481e-12
37,202636,Reflux 2% max,0.27935076728750113,0.7113435613976195,3890.7762118338323,2603.7211131305994,0.8142076502732241,0.7598187593805616,0.6531823505166195,251.2947420412242,270.2400815874808,0.0,279.7599184125193,41074.02685920409,22084.023740034914,1.1368683772161603e-13
37,202636,Yin 5% + reflux 2%,0.2548544698115878,0.6616152292346785,2254.1415018204793,816.6358811271799,0.6284153005464481,0.7550201606907859,0.6531944429237967,257.4238794649376,1329.3227542282114,1067.643368439503,288.3206142112902,37987.3075429708,21316.102501865942,-1.5347723092418164e-12
38,202637,DLE baseline,0.1763716319145766,0.9463301875537068,2411.730475479513,2385.086908514807,0.4808743169398907,0.8565377180354792,0.6528119794391066,297.40437295389194,550.0,0.0,0.0,42791.15561986902,23111.20271836,0.0
38,202637,Yin 5%,0.17894150862256405,0.5499696992298103,1636.824525480675,858.8365856376759,0.5382513661202186,0.847352591378577,0.6528679282346075,216.63035408969535,1519.4902451250164,969.4902451250179,0.0,35111.43075024855,19341.43698923554,-1.4779288903810084e-12
38,202637,Reflux 2% max,0.179600622738607,0.4973400776328666,3593.6901644686704,1429.5353372682368,0.8114754098360656,0.8545062610979771,0.652867573953219,187.52898102562327,280.7535763578402,0.0,269.24642364216004,40331.53027044375,20976.241448996516,2.2737367544323206e-13
38,202637,Yin 5% + reflux 2%,0.1841055526355141,0.5427180391627277,1945.2683984676607,913.2137364002909,0.5737704918032787,0.8437076013267223,0.6528649753595615,213.16130307101176,1272.1108328009886,982.1687094545345,260.0578766535461,35909.06868497164,19613.90337036405,2.8421709430404007e-13
39,202638,DLE baseline,0.14787777230674173,0.9581017639774532,2479.985669972486,1868.1715807063572,0.6530054644808743,0.8562070297724342,0.6528811035788079,267.9372619703185,550.0,0.0,0.0,43394.89712883009,22712.368020058697,0.0
39,202638,Yin 5%,0.08320273265813795,0.9580219734668708,1589.3431865593216,1589.3431865593216,0.5710382513661202,0.8871741677975293,0.6528448552096203,246.4108791940629,1594.4785520021221,1044.4785520021276,0.0,37283.983941122235,20851.162393688453,-5.4569682106375694e-12
39,202638,Reflux 2% max,0.149247211593632,0.9581559665016344,2798.7728288822254,2600.323092846855,0.7841530054644809,0.8575247927393962,0.6529057268992653,273.00312008096125,249.66480598675275,0.0,300.335194013249,43012.9240090401,22492.91930944103,1.7621459846850485e-12
39,202638,Yin 5% + reflux 2%,0.1524836159959678,0.9579833083822188,1840.4395023326701,1840.4395023326701,0.5792349726775956,0.8426746040515092,0.6528272895224809,248.38251946196223,1317.3728834490603,1068.5401381548072,301.1672547057491,38190.60073846561,21320.85454155059,2.1600499167107046e-12
40,202639,DLE baseline,0.15357897999671696,0.608503705509539,2511.632953332515,1609.4675372708741,0.7076502732240437,0.8396908628042093,0.652818580333834,252.64404756660392,550.0,0.0,0.0,42873.34571620065,22273.89858485439,0.0
40,202639,Yin 5%,0.15514429472459873,0.3721682768286711,1379.2759225959924,391.04662562864416,0.6530054644808743,0.8242604730090739,0.652818469938147,191.95825032357,1517.9804239429254,967.9804239429274,0.0,37155.98723371267,19332.358606358306,-1.9326762412674725e-12
40,202639,Reflux 2% max,0.16022138512340817,0.4101575834508505,2741.3283485621337,922.471562476752,0.7923497267759563,0.8377346058008702,0.6528185690010844,187.79756422536346,300.7841247861629,0.0,249.2158752138369,42661.658234822266,21465.67205125193,-1.4210854715202004e-13
40,202639,Yin 5% + reflux 2%,0.15456339946287703,0.41296891742610436,1512.6291953852449,730.766082420553,0.6666666666666666,0.8282205236808067,0.652818370400753,202.44265103686368,1306.7555607030604,1001.6991159881987,244.94355528513927,38127.41485977509,20009.665991293965,9.379164112033322e-13
41,202640,DLE baseline,0.1550151158129192,0.9579488050622738,2419.6588992818415,1906.075204792291,0.6092896174863388,0.8536988050237329,0.6528116143404918,269.93322961925696,550.0,0.0,0.0,42673.657595387136,22464.499315790505,0.0
41,202640,Yin 5%,0.15852931860637132,0.9910294342907802,2424.2643595652626,2424.2643595652626,0.7158469945355191,0.8382171450603209,0.6554365290791921,264.2506989736009,1520.1877425942325,970.1877425942337,0.0,34801.76365539757,19367.85447389547,-1.1368683772161603e-12
41,202640,Reflux 2% max,0.156139953872583,0.9579488051300591,2635.3347003353283,2075.9198225754635,0.7978142076502732,0.8551927335004197,0.6528116143712875,256.1955972420797,261.98191477783143,0.0,288.01808522216703,42541.22457420803,22001.48924400253,-1.5347723092418164e-12
41,202640,Yin 5% + reflux 2%,0.12007388851873631,0.9579488046815992,1490.0639880270498,1403.1105773444328,0.5300546448087432,0.8515495072592204,0.6528116141675468,269.77772751846726,1329.8245666199984,1062.8555950201976,283.03102840019955,38749.351332471764,21212.10443237664,3.979039320256561e-13
42,202641,DLE baseline,0.2038028649372988,0.9580353613401698,2519.551779439311,1847.5164317870856,0.587431693989071,0.8266815067192569,0.652817523949849,284.5097250199783,550.0,0.0,0.0,42022.55592163033,22395.333602827533,0.0
